Company | Post_Number | Post_Age | Type | Type_Note | Reactions | Comments | Reposts
Fidesic | 1 | 17h | Image | | 4 | 0 | 2
Fidesic | 2 | 17h | Image | | | |
Fidesic | 3 | 17h | Image | Reshare | | |
Fidesic | 4 | 1d | Image | | | |
Fidesic | 5 | 5d | Image | | | |
Fidesic | 6 | 6d | Image | | | |
Fidesic | 7 | 1w | Image | | | |
Fidesic | 8 | 1w | Image | | | |
Fidesic | 9 | 1w | Image | | | |
Fidesic | 10 | 1d | Article/Link | | | |
Tipalti | 1 | 19h | Image | | | |
Tipalti | 2 | 2d | Image | | | |
Tipalti | 3 | 2d | Image | | | |
Tipalti | 4 | 2d | Image | | | |
Tipalti | 5 | 5d | Image | | | |
Tipalti | 6 | 5d | Image | | | |
Tipalti | 7 | 6d | Image | | | |
Tipalti | 8 | 1d | Text only | | | |
Tipalti | 9 | 4d | Text only | | | |
Tipalti | 10 | 1w | Image | | | |
Stampli | 1 | 12h | Article/Link | | 4 | 0 | 3
Stampli | 2 | 1d | Article/Link | | 18 | 1 | 3
Stampli | 3 | 2w | Image | | 27 | 3 | 10
Stampli | 4 | 5d | Video | | | |
Stampli | 5 | 6d | Article/Link | | 8 | 0 | 2
Stampli | 6 | 1w | Article/Link | | 16 | 3 | 7
Stampli | 7 | 3w | Article/Link | | 25 | 0 | 11
Stampli | 8 | recent | Image | Reshare | 80 | 8 | 23
Stampli | 9 | 2mo | Carousel | | 43 | 1 | 5
Stampli | 10 | recent | Article/Link | Reshare | 98 | 2 | 5
Stripe | 1 | 6d | Image | | 180 | 29 | 24
Stripe | 2 | 21h | Article/Link | | 102 | 7 | 6
Stripe | 3 | recent | Article/Link | Reshare | 139 | 5 | 15
Stripe | 4 | 6d | Article/Link | Reshare | 84 | 3 | 3
Stripe | 5 | recent | Video | Reshare | 457 | 19 | 16
Stripe | 6 | recent | Video | Reshare | 301 | 19 | 5
Stripe | 7 | recent | Video | Reshare | 207 | 13 | 6
Stripe | 8 | 1w | Video | Reshare | | |
Stripe | 9 | recent | Article/Link | Reshare | | |
Stripe | 10 | 2w | Document (PDF) | | | |
